offset_x,offset_y,1996-09-02 00:00:00,1997-07-02 00:00:00,1997-09-19 00:00:00,1998-06-20 00:00:00,1998-09-12 00:00:00,1999-06-20 00:00:00,1999-08-06 00:00:00,1999-09-11 00:00:00,2000-09-02 00:00:00,2001-09-07 00:00:00,2002-09-13 00:00:00,2003-09-03 00:00:00,2004-07-03 00:00:00,2004-08-02 00:00:00,2004-09-07 00:00:00,2005-05-20 00:00:00,2005-07-14 00:00:00,2005-09-01 00:00:00,2006-07-14 00:00:00,2006-08-11 00:00:00,2006-09-18 00:00:00,2007-08-16 00:00:00,2007-09-09 00:00:00,2008-09-20 00:00:00,2009-09-05 00:00:00,2010-09-21 00:00:00,2011-09-20 00:00:00,2012-09-11 00:00:00,2013-09-15 00:00:00,2014-09-14 00:00:00,2015-09-24 00:00:00,2016-09-22 00:00:00,2017-09-21 00:00:00,2018-09-21 00:00:00,2019-09-24 00:00:00
0,0,87,15,70,11,77,5,57,73.5,84.5,78,92.75,96.5,48.5,92.75,98.25,7,65,99.75,68.5,97,104.5,101.75,105,98,96,99,100,107,82,101,120,81,79,81,80
0,10,78,12,62,12,63.5,5,45,62.75,65.5,70.25,73.75,73,35,71.5,75.5,5,49.5,78.75,51.75,70,84.75,87.5,88,89,85,88,90,95,95,91,92,85,75,79,90
0,20,62,12,52,9,56.75,8,46,56.5,62,68,70.5,72.75,40.5,72.5,77,4,52.25,79,57.5,76,83.25,85.5,86,85,90,91,92,90,94,94,91,97,79,86,97
0,30,57,19,62,16,68.75,13,55,62.25,68.75,73.25,74.25,77,35.5,75,78.5,8,53,84.5,55,77,88.25,90,89,86,90,89,91,90,92,84,91,100,91,96,92
0,40,71,20,72,13,73.25,9,59,72,78.75,82.5,86.25,89,59.25,88,90.25,7,66,91.25,67.75,87,89,98,97,96,100,100,102,103,106,107,91,115,101,102,99
0,50,70,30,69,18,70,10,65,71,76,78.5,81,81.75,57.5,80.5,82.5,5,67.25,87.25,68,83,92.5,96.25,96,97,97,95,100,102,101,101,100,103,91,98,78
0,60,72,16,53,10,46.25,5,30,49.75,56.25,61.5,66.25,68,34.5,66,69.25,2,46.75,72.25,51.75,70,74.5,79.25,78,77,79,84,82,81,81,83,81,84,73,76,89
0,70,52,21,67,13,66.5,8,50,65.75,69.5,72.75,75.25,75.5,34.5,73,77.25,2,43.75,79,47.75,71,80.25,82,84,84,84,88,87,86,88,86,87,94,78,85,130
0,80,69,28,72,13,72,10,66,70.5,77.75,83.5,86.75,89.75,66,89.25,92.25,7,81.25,99.75,81.75,101,107.25,106.75,110,114,113,115,115,121,120,123,124,130,118,130,100
10,0,90,22,78,14,83.25,8,55,80.5,85.75,93.5,90.25,102,46.75,81.5,85.5,6,55.25,86.25,57.25,85,87.75,87.25,111,85,89,96,108,96,125,92,120,90,80,97,75
10,10,56,13,47,12,52.25,10,36,52.75,59.25,62.5,69.75,72,26,63.75,74.25,7,43,78.75,45,70,90.25,91.25,95,91,83,92,86,102,98,92,100,106,72,82,98
10,20,61,13,62,11,62,19,56,60.5,68.5,69,72.5,75.5,34.75,72.25,75,7,47.75,75.75,44.75,71,81.25,85,92,87,90,85,88,93,94,96,92,85,83,84,80
10,30,53,17,51,13,52.25,11,42,51.75,57.75,62.25,63.75,65.75,29.5,63,67,3,37.25,67.75,28,63,73.5,75.5,76,78,77,75,76,80,94,85,80,75,73,79,88
10,40,63,18,56,16,58.25,21,56,60,71.25,74.75,78.25,78,38.75,74.25,79.25,12,49,79.5,51.75,70,78.5,86,86,82,85,85,83,85,88,88,82,92,78,85,96
10,50,63,19,62,15,62,8,53,60,72.5,77.25,79.25,78,52.25,78.75,81.75,6,59,85,59.25,77,88,90,91,89,90,96,90,94,96,95,86,100,86,95,89
10,60,48,11,46,9,48.5,9,44,49.25,56,64.25,69,72.25,40,69,70,4,51,72.75,55.25,66,78.5,80.5,82,82,85,88,85,86,90,89,88,94,80,89,85
10,70,58,20,56,13,51.75,5,40,51,52.75,57.75,63.75,69.75,35.75,69,72.25,8,45.75,73.25,50.25,63,76.5,79.75,82,79,80,82,83,82,85,84,82,94,77,82,96
10,80,61,24,63,13,64,10,51,63.75,69,75,75.75,78.75,52.75,77.5,77.25,7,54.25,80.75,50,73,80,82.75,85,84,87,91,89,90,98,96,97,101,89,94,68
20,0,94,18,100,35,88.5,9,-999,97,100,90.75,90.25,97,91.75,87.75,98,4,96.5,94.25,89.5,88,109.25,91.25,135,113,90,130,95,100,130,78,130,103,90,94,99
