STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2961;20230113;   10;  26.4;  16.0;    3;  -999;-999;    0.000;-999;  -999;   8.4;  993.80;    7.8;   79.00;   10.7;    6.6;-999;eor
       2961;20230114;   10;  22.5;  13.9;    3;  -999;-999;    0.000;-999;  -999;   8.6;  996.70;    6.9;   86.00;    8.9;    5.7;-999;eor
       2961;20230115;   10;  32.6;  18.5;    3;  -999;-999;    1.100;-999;  -999;   7.1;  986.40;    5.9;   76.00;    6.6;    3.7;-999;eor
       2961;20230116;   10;  16.9;  10.9;    3;  -999;-999;    2.200;-999;  -999;   6.8;  983.80;    4.9;   79.00;    5.4;    4.2;-999;eor
       2961;20230117;   10;  22.3;  11.7;    3;  -999;-999;    2.100;-999;  -999;   6.2;  977.10;    2.8;   83.00;    5.2;    0.9;-999;eor
       2961;20230118;   10;  18.0;  10.9;    3;  -999;-999;    6.900;-999;  -999;   5.4;  989.10;    1.6;   79.00;    3.2;    0.3;-999;eor
       2961;20230119;   10;  20.0;  12.8;    3;  -999;-999;    0.300;-999;  -999;   6.4;  995.10;    2.5;   87.00;    3.9;    0.8;-999;eor
       2961;20230120;   10;  14.5;   8.1;    3;  -999;-999;    0.000;-999;  -999;   6.4; 1011.80;    1.8;   91.00;    3.5;    0.8;-999;eor
       2961;20230121;   10;  17.5;   8.6;    3;  -999;-999;    5.100;-999;  -999;   6.2; 1028.60;    2.5;   84.00;    4.3;    0.7;-999;eor
       2961;20230122;   10;  15.1;  11.6;    3;  -999;-999;    0.000;-999;  -999;   5.7; 1031.60;    2.2;   79.00;    4.0;    0.1;-999;eor
       2961;20230123;   10;  13.5;   6.0;    3;  -999;-999;    0.000;-999;  -999;   6.3; 1035.80;    2.9;   83.00;    3.4;    2.1;-999;eor
       2961;20230124;   10;   8.7;   2.8;    3;  -999;-999;    0.000;-999;  -999;   5.3; 1037.00;    1.7;   76.00;    3.0;   -0.3;-999;eor
       2961;20230125;   10;  12.8;   8.2;    3;  -999;-999;    0.000;-999;  -999;   5.2; 1027.40;   -1.1;   93.00;    0.1;   -1.9;-999;eor
       2961;20230126;   10;  17.7;   8.0;    3;  -999;-999;    0.500;-999;  -999;   6.8; 1019.50;    2.6;   92.00;    4.9;   -0.9;-999;eor
       2961;20230127;   10;  16.5;   6.7;    3;  -999;-999;    2.300;-999;  -999;   5.7; 1025.50;    2.2;   79.00;    4.0;    0.9;-999;eor
       2961;20230128;   10;  13.5;   7.5;    3;  -999;-999;    0.500;-999;  -999;   5.7; 1024.00;    1.4;   84.00;    4.1;   -0.7;-999;eor
