,Date,pr,tas,GWL
0,1990-01-01,0.6,-1.7714285,39.75
1,1990-01-08,0.4,1.8714286,39.79
2,1990-01-15,2.5,5.7000003,39.82
3,1990-01-22,16.0,6.2428575,39.85
4,1990-01-29,2.3,6.457143,39.9
5,1990-02-05,6.7000003,6.0,39.95
6,1990-02-12,16.0,3.7142856,40.01
7,1990-02-19,0.5,9.599999,40.05
8,1990-02-26,36.4,4.0,40.08
9,1990-03-05,9.099999,8.1285715,40.15
10,1990-03-12,0.0,7.3142858,40.21
11,1990-03-19,2.5,9.957143,40.24
12,1990-03-26,0.6,7.057143,40.25
13,1990-04-02,1.1,6.3857145,40.26
14,1990-04-09,10.0,6.2000003,40.3
15,1990-04-16,4.9,8.571428,40.35
16,1990-04-23,7.1,9.5,40.39
17,1990-04-30,0.0,15.885715,40.42
18,1990-05-07,0.90000004,15.471429,40.44
19,1990-05-14,1.9,13.385714,40.46
20,1990-05-21,0.8,13.485715,40.47
21,1990-05-28,10.9,14.185715,40.41
22,1990-06-04,43.6,13.2,40.35
23,1990-06-11,0.2,14.185715,40.32
24,1990-06-18,2.6,17.657143,40.3
25,1990-06-25,17.3,20.657145,40.27
26,1990-07-02,16.1,15.071428,40.26
27,1990-07-09,4.4,16.628572,40.24
28,1990-07-16,0.7,17.342855,40.18
29,1990-07-23,0.1,18.185713,40.11
30,1990-07-30,0.3,22.942858,40.05
31,1990-08-06,0.8,18.457142,39.97
32,1990-08-13,23.800001,17.871428,39.96
33,1990-08-20,14.1,17.071428,39.93
34,1990-08-27,30.1,18.9,39.915
35,1990-09-03,10.1,13.385714,39.9
36,1990-09-10,7.0,12.042857,39.91
37,1990-09-17,10.7,11.242857,39.91
38,1990-09-24,17.4,11.571428,39.9
39,1990-10-01,7.4,12.300001,39.92
40,1990-10-08,0.9,10.457143,39.93
41,1990-10-15,0.2,12.085714,39.94
42,1990-10-22,12.8,5.5142856,39.94
43,1990-10-29,15.0,7.0,39.9
44,1990-11-05,2.8,4.714286,39.88
45,1990-11-12,19.0,8.942857,39.87
46,1990-11-19,9.8,3.042857,39.86
47,1990-11-26,5.4,1.1999999,39.86
48,1990-12-03,3.8,-0.1571429,39.86
49,1990-12-10,17.1,0.4,39.87
50,1990-12-17,4.5,1.0,39.87
51,1990-12-24,13.7,3.7857144,39.86
