,Date,pr,tas,GWL
0,1990-01-01,0.3,0.14285715,
1,1990-01-08,0.3,1.1,
2,1990-01-15,4.9,4.857143,
3,1990-01-22,25.1,6.7714286,
4,1990-01-29,2.6,6.985714,
5,1990-02-05,9.4,6.1285715,
6,1990-02-12,43.3,5.3428574,
7,1990-02-19,1.7,10.571428,
8,1990-02-26,47.899998,5.4714284,
9,1990-03-05,1.0,9.271429,
10,1990-03-12,1.1,9.5,
11,1990-03-19,8.1,11.028571,
12,1990-03-26,2.6,8.571428,
13,1990-04-02,5.2999997,8.257143,
14,1990-04-09,15.3,8.514286,
15,1990-04-16,13.6,9.357142,
16,1990-04-23,9.099999,10.842857,
17,1990-04-30,0.0,18.642857,
18,1990-05-07,1.7,15.814285,
19,1990-05-14,0.0,17.671429,
20,1990-05-21,4.7000003,15.885715,
21,1990-05-28,13.5,15.457144,
22,1990-06-04,13.8,14.214286,
23,1990-06-11,14.6,14.599999,
24,1990-06-18,26.500002,17.485714,
25,1990-06-25,27.4,21.657145,
26,1990-07-02,22.7,16.27143,
27,1990-07-09,8.200001,19.02857,
28,1990-07-16,0.0,20.842855,
29,1990-07-23,0.1,22.228573,
30,1990-07-30,0.0,25.414286,
31,1990-08-06,0.0,20.457142,
32,1990-08-13,5.5,19.385714,
33,1990-08-20,5.1,18.97143,
34,1990-08-27,18.3,19.285715,
35,1990-09-03,15.0,14.442857,
36,1990-09-10,4.2,13.471429,
37,1990-09-17,45.199997,14.157143,
38,1990-09-24,6.7,12.642858,
39,1990-10-01,22.9,14.0,
40,1990-10-08,0.0,10.614286,
41,1990-10-15,0.0,13.857142,
42,1990-10-22,25.2,8.828571,
43,1990-10-29,27.0,8.542857,
44,1990-11-05,12.7,4.2571425,
45,1990-11-12,41.2,9.471429,
46,1990-11-19,28.7,4.8857145,
47,1990-11-26,5.7,2.5857143,
48,1990-12-03,1.4,0.29999998,
49,1990-12-10,36.9,0.45714286,
50,1990-12-17,17.6,1.4857142,
51,1990-12-24,12.299999,5.6142855,
52,1990-12-31,15.6,6.8714285,
53,1991-01-07,21.2,7.6857142,
54,1991-01-14,4.8,-0.29999998,
55,1991-01-21,2.2,0.94285715,
56,1991-01-28,0.0,-2.542857,
57,1991-02-04,6.3,-4.6,
58,1991-02-11,7.8,-1.6857144,
59,1991-02-18,0.8,3.1000001,
60,1991-02-25,6.2999997,5.3857145,
61,1991-03-04,9.0,9.585714,
62,1991-03-11,0.0,9.971429,
63,1991-03-18,25.6,10.557143,
64,1991-03-25,0.70000005,6.1,
65,1991-04-01,0.0,10.328572,
66,1991-04-08,0.0,12.428572,
67,1991-04-15,4.9,6.0285716,
68,1991-04-22,5.3999996,8.171429,
69,1991-04-29,10.1,8.5,
70,1991-05-06,0.4,11.542856,
71,1991-05-13,10.0,10.7,
72,1991-05-20,0.9,14.285714,
73,1991-05-27,0.0,16.72857,
74,1991-06-03,13.0,13.757142,
75,1991-06-10,7.6,17.057142,
76,1991-06-17,21.4,15.757143,
77,1991-06-24,14.0,17.328571,
78,1991-07-01,0.0,24.814285,
79,1991-07-08,6.8999996,24.771427,
80,1991-07-15,7.6,19.52857,
81,1991-07-22,12.8,19.685715,
82,1991-07-29,1.7,21.657145,
83,1991-08-05,2.9,23.9,
84,1991-08-12,0.0,21.642857,
85,1991-08-19,7.1000004,20.97143,
86,1991-08-26,0.0,20.02857,
87,1991-09-02,0.0,18.314285,
88,1991-09-09,3.2,17.714285,
89,1991-09-16,12.0,18.057142,
90,1991-09-23,23.6,15.442857,
91,1991-09-30,16.9,12.985715,
92,1991-10-07,3.9,13.1285715,
93,1991-10-14,10.0,10.285714,
94,1991-10-21,1.5,5.9857144,
95,1991-10-28,11.0,5.9857144,
96,1991-11-04,21.2,7.071429,
97,1991-11-11,34.2,5.928571,
98,1991-11-18,21.199999,3.9285715,
99,1991-11-25,0.0,1.2428571,
100,1991-12-02,0.0,1.2428571,
101,1991-12-09,0.0,-4.8142858,
102,1991-12-16,54.9,5.071429,
103,1991-12-23,1.9,3.6857142,
104,1991-12-30,8.5,3.1142857,
105,1992-01-06,20.7,5.1142855,
106,1992-01-13,10.2,3.5714285,
107,1992-01-20,0.0,-2.1714284,
108,1992-01-27,0.0,-0.55714285,
109,1992-02-03,20.2,2.7142856,
110,1992-02-10,21.6,6.571429,
111,1992-02-17,4.5,1.3285713,
112,1992-02-24,0.0,6.0142856,
113,1992-03-02,4.9,7.785714,
114,1992-03-09,21.3,7.1,
115,1992-03-16,10.6,8.385715,
116,1992-03-23,20.5,4.714286,
117,1992-03-30,3.2,8.5,
118,1992-04-06,0.0,10.328572,
119,1992-04-13,15.4,8.614285,
120,1992-04-20,1.4,13.471429,
121,1992-04-27,31.7,10.957143,
122,1992-05-04,6.1,14.242857,
123,1992-05-11,0.5,17.871428,
124,1992-05-18,3.8,19.328571,
125,1992-05-25,9.3,19.985714,
126,1992-06-01,89.2,17.214285,
127,1992-06-08,1.6999999,17.514286,
128,1992-06-15,3.7,18.4,
129,1992-06-22,6.6,19.957142,
130,1992-06-29,30.6,20.228573,
131,1992-07-06,57.0,17.871428,
132,1992-07-13,0.1,20.800001,
133,1992-07-20,6.5,23.042858,
134,1992-07-27,0.0,23.657145,
135,1992-08-03,0.0,24.657145,
136,1992-08-10,6.3,18.199999,
137,1992-08-17,9.4,21.699999,
138,1992-08-24,22.5,21.828571,
139,1992-08-31,34.7,13.228571,
140,1992-09-07,3.1,16.02857,
141,1992-09-14,20.599998,16.071428,
142,1992-09-21,2.0,16.542858,
143,1992-09-28,12.1,14.314285,
144,1992-10-05,3.3999999,11.3,
145,1992-10-12,5.6,5.8714285,
146,1992-10-19,44.0,6.942857,
147,1992-10-26,18.0,5.428571,
148,1992-11-02,10.2,7.9,371.92
149,1992-11-09,35.0,6.7999997,372.46
150,1992-11-16,22.8,6.914286,373.4
151,1992-11-23,21.6,8.5,376.69
152,1992-11-30,9.5,7.3857145,376.83
153,1992-12-07,19.699999,4.328572,376.54
154,1992-12-14,6.7,2.0428572,375.94
155,1992-12-21,11.4,2.0142856,375.43
156,1992-12-28,0.0,-4.3857145,374.69
157,1993-01-04,12.7,3.2571428,373.83
158,1993-01-11,10.6,8.428572,373.99
159,1993-01-18,7.8,9.2,376.88
160,1993-01-25,15.3,3.1285713,377.46
161,1993-02-01,0.0,-0.58571434,377.18
162,1993-02-08,0.0,0.9857143,375.4
163,1993-02-15,17.5,2.8142858,372.79
164,1993-02-22,0.4,-1.0714285,372.05
165,1993-03-01,8.6,2.5714285,371.88
166,1993-03-08,0.0,5.942857,371.1
167,1993-03-15,8.0,10.6285715,371.01
168,1993-03-22,2.3,5.542857,370.39
169,1993-03-29,14.2,7.142857,370.42
170,1993-04-05,6.3,9.842857,370.43
171,1993-04-12,10.099999,10.585714,370.5
172,1993-04-19,0.3,16.871428,370.48
173,1993-04-26,3.7,18.614286,371.91
174,1993-05-03,20.1,14.485715,371.2
175,1993-05-10,23.2,16.585714,370.34
176,1993-05-17,10.6,17.4,369.48
177,1993-05-24,13.9,19.157145,367.69
178,1993-05-31,3.5,18.771427,366.76
179,1993-06-07,6.2000003,20.157145,365.58
180,1993-06-14,7.6,18.057142,365.25
181,1993-06-21,7.5,17.371428,364.8
182,1993-06-28,0.0,21.699999,364.05
183,1993-07-05,1.3000001,18.542858,363.25
184,1993-07-12,25.5,17.942858,363.0
185,1993-07-19,41.9,18.042858,362.35
186,1993-07-26,45.0,19.085714,361.99
187,1993-08-02,10.1,21.228573,362.07
188,1993-08-09,21.0,20.457142,362.12
189,1993-08-16,0.0,22.185715,361.94
190,1993-08-23,1.1,14.785714,361.69
191,1993-08-30,9.7,14.428572,361.21
192,1993-09-06,30.9,15.528572,360.99
193,1993-09-13,9.4,14.357142,361.0
194,1993-09-20,29.7,16.214285,361.01
195,1993-09-27,25.3,11.714286,361.136666666667
196,1993-10-04,15.3,13.785714,361.263333333333
197,1993-10-11,14.299999,11.228571,361.39
198,1993-10-18,20.1,6.428571,361.34
199,1993-10-25,0.0,4.7571425,361.29
200,1993-11-01,8.7,5.4714284,361.0
201,1993-11-08,18.6,6.2428575,360.96
202,1993-11-15,4.4,1.0142858,361.26
203,1993-11-22,0.90000004,-2.042857,360.86
204,1993-11-29,3.3,1.8285713,361.6
205,1993-12-06,26.8,5.7285714,361.31
206,1993-12-13,48.9,7.1,366.24
207,1993-12-20,57.4,4.6714287,378.38
208,1993-12-27,23.0,4.8285713,379.99
209,1994-01-03,24.900002,6.0142856,378.01
210,1994-01-10,0.8,5.8428574,378.33
211,1994-01-17,5.1000004,0.5285714,375.39
212,1994-01-24,19.8,5.9714284,374.27
213,1994-01-31,15.6,4.2571425,376.56
214,1994-02-07,1.8000001,3.0,375.47
215,1994-02-14,4.4,-2.142857,374.54
216,1994-02-21,10.0,5.1142855,373.34
217,1994-02-28,8.5,8.228571,372.28
218,1994-03-07,13.6,9.900001,372.98
219,1994-03-14,18.7,7.6285715,374.11
220,1994-03-21,21.8,9.942857,378.56
221,1994-03-28,13.0,10.057143,376.98
222,1994-04-04,19.6,6.142857,375.54
223,1994-04-11,32.7,7.928571,377.74
224,1994-04-18,0.1,12.285714,377.49
225,1994-04-25,10.599999,15.5,374.94
226,1994-05-02,26.2,14.2,373.39
227,1994-05-09,7.1,15.5,372.44
228,1994-05-16,53.9,15.942857,371.74
229,1994-05-23,20.9,14.785714,370.95
230,1994-05-30,12.2,15.957143,370.66
231,1994-06-06,32.8,14.857142,370.7
232,1994-06-13,7.1,18.728573,370.82
233,1994-06-20,6.6,22.5,369.81
234,1994-06-27,30.2,24.0,368.89
235,1994-07-04,0.3,21.742857,368.46
236,1994-07-11,3.2,24.071428,367.59
237,1994-07-18,18.9,22.37143,366.51
238,1994-07-25,2.8,25.228573,367.58
239,1994-08-01,7.0,24.914286,366.64
240,1994-08-08,31.7,18.742857,365.83
241,1994-08-15,17.4,17.52857,365.64
242,1994-08-22,10.0,19.52857,365.45
243,1994-08-29,2.7,16.814285,365.04
244,1994-09-05,53.4,15.742857,364.47
245,1994-09-12,33.4,13.614286,363.9
246,1994-09-19,5.6000004,15.728571,363.74
247,1994-09-26,24.2,15.171428,363.61
248,1994-10-03,2.8000002,7.3285713,363.51
249,1994-10-10,0.0,9.885714,362.9
250,1994-10-17,3.1999998,8.685714,362.81
251,1994-10-24,14.5,10.271429,362.74
252,1994-10-31,1.0,11.028571,362.78
253,1994-11-07,9.4,9.285714,365.51
254,1994-11-14,16.4,10.528571,365.06
255,1994-11-21,13.7,8.742857,368.79
256,1994-11-28,11.9,5.8857145,372.02
257,1994-12-05,6.1,8.5,371.2
258,1994-12-12,2.8,5.1857142,372.49
259,1994-12-19,0.4,1.8285713,372.91
260,1994-12-26,14.7,6.785714,371.86
261,1995-01-02,6.7,-3.142857,373.64
262,1995-01-09,16.2,1.3857143,374.76
263,1995-01-16,38.5,3.4142857,373.37
264,1995-01-23,44.8,7.428571,377.74
265,1995-01-30,2.3000002,4.7000003,380.26
266,1995-02-06,8.8,7.3428574,376.78
267,1995-02-13,14.5,8.528571,375.56
268,1995-02-20,12.6,5.8428574,377.77
269,1995-02-27,4.5,5.542857,377.33
270,1995-03-06,2.3,5.4857144,376.63
271,1995-03-13,41.7,6.1,375.03
272,1995-03-20,5.6,6.6714287,374.66
273,1995-03-27,17.1,5.042857,375.91
274,1995-04-03,0.4,11.014285,375.9
275,1995-04-10,8.0,8.814286,375.35
276,1995-04-17,14.099999,10.714286,373.61
277,1995-04-24,29.900002,13.657143,375.96
278,1995-05-01,0.5,16.785715,375.18
279,1995-05-08,4.2,12.099999,374.13
280,1995-05-15,32.3,10.685715,372.54
281,1995-05-22,21.7,18.385714,371.91
282,1995-05-29,31.9,14.771429,371.86
283,1995-06-05,13.3,14.114286,372.94
284,1995-06-12,35.899998,14.599999,373.25
285,1995-06-19,7.9,18.185715,372.53
286,1995-06-26,0.1,23.085714,372.08
287,1995-07-03,0.3,21.057142,371.39
288,1995-07-10,18.6,23.1,370.49
289,1995-07-17,65.7,22.771427,369.88
290,1995-07-24,44.3,21.97143,368.61
291,1995-07-31,0.0,24.157145,367.68
292,1995-08-07,89.6,20.914286,366.64
293,1995-08-14,12.0,20.828571,365.66
294,1995-08-21,13.2,19.685715,364.97
295,1995-08-28,17.1,13.285714,364.52
296,1995-09-04,6.8,15.457143,364.65
297,1995-09-11,31.7,14.971429,363.68
298,1995-09-18,41.6,13.942857,363.4
299,1995-09-25,13.799999,11.771429,364.21
300,1995-10-02,13.9,15.400001,367.4
301,1995-10-09,0.0,15.414286,368.91
302,1995-10-16,3.0,11.599999,368.43
303,1995-10-23,8.3,11.814285,367.16
304,1995-10-30,11.9,6.085714,366.33
305,1995-11-06,2.4,4.9857144,365.71
306,1995-11-13,28.8,6.5,365.67
307,1995-11-20,0.0,3.3999999,366.33
308,1995-11-27,5.7,2.6857142,367.14
309,1995-12-04,0.0,-0.5,367.72
310,1995-12-11,1.6999999,0.41428572,367.3
311,1995-12-18,53.7,5.5,366.68
312,1995-12-25,1.4,-1.8142856,368.15
313,1996-01-01,3.6,-0.8142857,374.09
314,1996-01-08,0.0,2.3285713,372.75
315,1996-01-15,0.0,-0.3285714,371.84
