Year 	jan 	feb 	mar 	apr 	mai 	jun 	jul 	aug 	sep 	okt 	nov 	dec 	annual
1946 	-22.7 	-25.6 	-26.2 	-8.9 	-4.2 	6.5 	9.1 	12.4 	3.3 	-7.4 	-14.1 	-15.0 	-7.7	
1947 	-14.7 	-22.3 	-16.0 	-6.0 	-3.1 	5.4 	8.2 	9.4 	4.7 	-1.1 	-11.6 	-14.5 	-5.1	
1948 	-17.1 	-21.2 	-19.5 	-7.2 	0.4 	7.2 	10.7 	9.0 	5.9 	-1.1 	-7.3 	-21.1 	-5.1	
1949 	-13.9 	-26.1 	-14.1 	-5.6 	-3.8 	3.5 	7.3 	11.2 	1.3 	-2.6 	-13.4 	-15.2 	-6.0	
1950 	-24.3 	-21.6 	-11.1 	-3.9 	-2.1 	6.7 	11.8 	9.1 	5.3 	-1.6 	-12.3 	-13.0 	-4.8	
1951 	-19.5 	-23.8 	-17.5 	-2.3 	-3.6 	4.6 	12.6 	9.2 	5.1 	-1.6 	-12.4 	-13.0 	-5.2	
1952 	-18.3 	-12.0 	-21.4 	-9.7 	-6.0 	5.9 	13.3 	8.4 	5.5 	-7.4 	-14.3 	-22.5 	-6.5	
1953 	-20.0 	-19.5 	-19.7 	-2.8 	-0.9 	9.2 	13.6 	13.4 	1.0 	-4.7 	-16.7 	-10.3 	-4.8	
1954 	-17.3 	-22.8 	-14.6 	-7.1 	-0.8 	7.4 	16.0 	9.1 	5.4 	-2.1 	-11.9 	-11.8 	-4.2	
1955 	-13.5 	-23.6 	-19.4 	-4.8 	1.8 	8.0 	13.4 	7.5 	3.2 	-1.2 	-16.6 	-24.3 	-5.8	
1956 	-17.6 	-20.4 	-10.0 	-14.8 	-0.1 	7.3 	13.7 	11.7 	0.5 	-7.0 	-14.7 	-13.0 	-5.4	
1957 	-18.9 	-16.7 	-24.4 	-9.0 	-0.2 	6.9 	13.9 	13.8 	5.3 	-5.5 	-21.4 	-19.4 	-6.3	
1958 	-18.0 	-17.3 	-25.7 	-13.7 	-4.5 	6.0 	10.9 	6.6 	-0.3 	-3.2 	-10.8 	-27.2 	-8.1	
1959 	-15.8 	-17.5 	-12.9 	-14.2 	-1.2 	8.2 	13.8 	11.2 	4.6 	-6.4 	-10.2 	-15.6 	-4.7	
1960 	-24.4 	-26.7 	-25.5 	-9.3 	-3.7 	5.5 	12.1 	7.3 	3.8 	-7.5 	-16.4 	-13.1 	-8.2	
1961 	-15.8 	-17.8 	-8.7 	-10.1 	-3.3 	5.8 	15.8 	11.5 	2.8 	-3.5 	-12.7 	-18.0 	-4.5	
1962 	-16.0 	-12.5 	-14.9 	-5.6 	0.9 	6.8 	16.3 	8.6 	6.7 	-6.9 	-8.5 	-19.5 	-3.7	
1963 	-20.1 	-20.1 	-25.3 	-9.9 	-1.9 	8.2 	12.6 	9.8 	3.0 	-1.8 	-14.5 	-22.7 	-6.9	
1964 	-26.8 	-18.4 	-21.3 	-16.3 	-3.4 	5.2 	15.2 	9.0 	4.1 	-2.9 	-20.9 	-12.4 	-7.4	
1965 	-18.8 	-19.8 	-13.2 	-8.8 	-4.9 	6.5 	12.3 	10.4 	2.7 	-8.1 	-20.6 	-13.8 	-6.3	
1966 	-21.7 	-31.1 	-19.1 	-10.5 	-3.0 	4.2 	12.9 	8.9 	3.2 	-10.0 	-9.9 	-17.1 	-7.8	
1967 	-24.4 	-16.8 	-6.7 	-2.2 	-3.0 	6.6 	15.0 	10.9 	3.4 	-0.9 	-5.1 	-13.4 	-3.1	
1968 	-20.4 	-15.9 	-11.1 	-13.4 	-2.4 	3.2 	7.8 	8.8 	1.2 	-6.2 	-24.7 	-24.8 	-8.2	
1969 	-27.6 	-23.6 	-19.0 	-12.3 	-6.2 	3.2 	13.1 	6.6 	3.6 	-6.2 	-7.4 	-15.8 	-7.6	
1970 	-25.7 	-19.6 	-10.1 	-11.2 	-5.6 	2.4 	11.8 	6.8 	6.9 	-5.6 	-14.5 	-16.6 	-6.8	
1971 	-20.2 	-21.5 	-17.0 	-14.0 	-2.9 	3.4 	11.0 	8.2 	4.3 	-7.6 	-10.2 	-15.2 	-6.8	
1972 	-24.7 	-18.8 	-17.3 	-8.9 	-7.2 	7.0 	11.5 	9.0 	1.6 	-3.6 	-18.2 	-15.6 	-7.1	
1973 	-26.7 	-15.1 	-15.2 	-5.7 	-1.5 	6.3 	10.9 	11.5 	1.7 	-5.8 	-11.8 	-17.6 	-5.8	
1974 	-20.8 	-23.9 	-11.7 	-11.1 	-3.8 	6.3 	17.5 	10.4 	5.1 	-5.2 	-21.8 	-8.3 	-5.6	
1975 	-17.7 	-20.7 	-14.3 	-7.1 	-4.2 	3.5 	10.9 	8.8 	6.1 	-7.8 	-13.3 	-13.4 	-5.8	
1976 	-20.4 	-20.1 	-12.9 	-4.7 	-3.5 	6.9 	13.7 	12.5 	3.9 	-9.7 	-9.5 	-11.7 	-4.6	
1977 	-20.2 	-28.0 	-19.2 	-5.0 	1.3 	10.4 	13.0 	11.0 	4.2 	-11.3 	-7.2 	-16.8 	-5.7	
1978 	-17.8 	-20.3 	-15.4 	-16.7 	-6.2 	2.1 	12.2 	6.9 	2.9 	-4.1 	-12.1 	-25.5 	-7.8	
1979 	-25.6 	-25.7 	-20.2 	-13.8 	-1.5 	3.8 	12.6 	9.9 	6.6 	-8.1 	-10.0 	-19.2 	-7.6	
1980 	-24.7 	-16.5 	-15.2 	-8.2 	-3.3 	5.0 	9.4 	6.3 	4.9 	-2.1 	-15.2 	-14.3 	-6.2	
1981 	-11.4 	-15.9 	-19.6 	-12.5 	-4.8 	8.1 	11.1 	14.2 	4.8 	0.3 	-6.9 	-11.5 	-3.7	
1982 	-25.1 	-21.0 	-18.6 	-5.7 	1.2 	8.3 	14.7 	7.2 	3.4 	-9.9 	-9.5 	-11.5 	-5.5	
1983 	-16.4 	-18.8 	-14.6 	-10.3 	-5.6 	6.9 	13.7 	8.8 	5.1 	-2.0 	-12.6 	-14.9 	-5.1	
1984 	-12.4 	-13.8 	-10.1 	-17.1 	-2.7 	6.8 	14.2 	10.3 	4.7 	-6.0 	-21.4 	-17.4 	-5.4	
1985 	-26.9 	-26.5 	-12.5 	-11.3 	-6.3 	6.0 	11.0 	8.6 	6.9 	-4.1 	-11.6 	-22.9 	-7.5	
1986 	-18.0 	-24.9 	-10.4 	-9.6 	-4.9 	6.0 	9.9 	7.4 	1.7 	-2.7 	-5.9 	-27.6 	-6.6	
1987 	-24.6 	-21.5 	-15.6 	-14.2 	-0.8 	4.9 	14.3 	8.1 	4.4 	-0.2 	-16.6 	-20.1 	-6.8	
1988 	-17.9 	-20.9 	-10.9 	-14.4 	-2.7 	5.9 	13.7 	10.9 	4.0 	-4.2 	-14.3 	-14.7 	-5.5	
1989 	-24.7 	-18.3 	-7.2 	-13.9 	1.2 	10.1 	14.9 	10.8 	5.5 	-2.5 	-12.7 	-20.9 	-4.8	
1990 	-22.7 	-16.7 	-12.7 	-4.2 	-1.4 	9.5 	17.7 	9.4 	2.8 	-5.8 	-20.7 	-16.8 	-5.1	
1991 	-20.7 	-19.4 	-16.4 	-4.4 	2.0 	12.0 	11.6 	9.0 	6.6 	-1.8 	-11.4 	-19.9 	-4.4	
1992 	-23.5 	-15.6 	-12.5 	-16.9 	0.0 	3.5 	11.0 	9.8 	4.1 	-10.4 	-20.4 	-14.4 	-7.1	
1993 	-15.5 	-16.6 	-12.2 	-9.9 	-4.1 	13.2 	15.7 	10.1 	3.9 	-5.7 	-12.0 	-17.8 	-4.2	
1994 	-18.4 	-27.9 	-10.4 	-6.9 	-5.5 	6.7 	13.7 	10.1 	4.0 	-2.4 	-18.1 	-14.7 	-5.8	
1995 	-11.3 	-9.8 	-11.6 	-0.3 	0.6 	5.7 	13.1 	11.4 	4.9 	-4.4 	-14.8 	-20.4 	-3.1	
1996 	-16.9 	-17.1 	-9.7 	-11.5 	-1.7 	7.5 	12.7 	6.3 	0.7 	-2.2 	-4.7 	-17.0 	-4.5	
1997 	-24.1 	-25.3 	-12.3 	-4.1 	0.4 	5.5 	7.0 	8.0 	6.7 	-2.4 	-16.1 	-25.1 	-6.8	
1998 	-21.6 	-31.2 	-13.7 	-15.2 	-4.2 	6.3 	16.4 	10.1 	0.2 	-9.4 	-22.4 	-21.3 	-8.8	
1999 	-25.4 	-15.8 	-19.2 	-14.4 	-6.2 	5.0 	11.3 	8.7 	3.9 	-1.8 	-15.5 	-13.5 	-6.9	
2000 	-22.4 	-15.4 	-10.8 	-6.2 	0.7 	9.9 	13.4 	10.8 	4.5 	-2.1 	-10.5 	-20.4 	-4.0	
2001 	-21.0 	-24.9 	-18.1 	-7.8 	0.9 	8.6 	10.3 	12.3 	5.5 	-5.6 	-13.6 	-16.2 	-5.8	
2002 	-25.1 	-16.9 	-15.8 	-8.4 	-0.9 	6.8 	12.3 	8.3 	1.3 	-2.9 	-14.7 	-21.2 	-6.4	
2003 	-23.0 	-21.2 	-17.5 	-9.2 	0.4 	8.8 	12.0 	15.0 	4.7 	-0.9 	-12.5 	-13.4 	-4.7	
2004 	-16.2 	-18.0 	-18.5 	-15.1 	-1.8 	9.7 	16.7 	8.7 	3.6 	-4.2 	-9.7 	-17.3 	-5.2	
2005 	-12.9 	-18.1 	-19.4 	-12.3 	1.6 	8.5 	14.2 	10.9 	6.7 	-0.1 	-4.4 	-13.3 	-3.2	
2006 	-25.0 	-18.1 	-14.4 	-12.2 	-1.0 	10.8 	12.2 	8.9 	4.6 	-6.8 	-16.5 	-15.4 	-6.1	
2007 	-11.5 	-23.6 	-10.2 	-3.8 	-3.6 	8.1 	17.9 	9.1 	5.3 	0.8 	-10.0 	-12.6 	-2.8	
2008 	-11.6 	-17.4 	-15.3 	-11.3 	-3.4 	7.2 	15.6 	9.4 	4.8 	-0.7 	-10.7 	-10.7 	-3.7	
2009 	-20.4 	-22.6 	-12.0 	-10.6 	-4.4 	6.6 	12.7 	10.6 	6.4 	-2.5 	-15.9 	-26.4 	-6.5	
2010 	-19.7 	-27.7 	-14.8 	-7.0 	-0.3 	5.8 	10.7 	8.5 	2.4 	0.7 	-12.6 	-19.8 	-6.2	
2011 	-17.8 	-24.0 	-8.3 	-3.9 	1.7 	11.1 	8.9 	6.9 	7.0 	-1.3 	-10.9 	-7.7 	-3.2	
2012 	-15.7 	-16.5 	-16.4 	-4.2 	0.8 	14.6 	13.6 	8.9 	6.3 	-0.2 	-11.7 	-18.1 	-3.2	
2013 	-25.5 	-15.1 	-21.7 	-5.0 	-1.9 	9.2 	17.5 	11.0 	3.5 	-5.8 	-7.2 	-15.5 	-4.7	
2014 	-28.5 	-21.1 	-9.6 	-7.4 	-1.6 	8.9 	8.3 	9.9 	3.3 	-7.0 	-11.3 	-14.3 	-5.9	
2015 	-22.7 	-15.2 	-8.2 	-6.0 	3.4 	11.7 	10.3 	8.9 	4.6 	-5.4 	-9.5 	-13.5 	-3.5	
2016 	-16.0 	-7.3 	-13.1 	-1.7 	1.6 	11.5 	18.9 	12.9 	8.7 	-0.7 	-15.1 	-22.6 	-1.9	
2017 	-19.0 	-18.7 	-4.3 	-9.8 	-5.5 	8.7 	16.8 	9.3 	3.3 	-1.4 	-8.2 	-8.8 	-3.1	
2018 	-12.0 	-18.6 	-21.0 	-9.6 	-4.7 	7.0 	15.2 	9.8 	6.4 	-1.3 	-12.1 	-9.5 	-4.2	
2019 	-19.7 	-17.6 	-9.6 	-8.2 	-1.2 	4.8 	15.3 	9.9 	5.2 	-3.0 	-13.7 	-12.9 	-4.2	
2020 	-15.4 	-9.8 	-7.5 	-4.1 	3.9 	8.1 	15.0 	12.2 	7.6 	-1.5 	-6.5 	-16.8 	-1.2	
2021 	-24.6 	-28.3 	-16.1 	-2.8 	3.2 	9.0 	11.5 	12.6 	4.4 	-1.9 	-13.0 	-17.8 	-5.3	
2022 	-15.8 	-11.6 	-14.5 	-6.6 	3.9 	10.2 	14.8 	12.6 	4.3 	0.4 	-12.5 	-16.2 	-2.6	
2023 	-13.7 	-13.1 	-14.4 	-9.9 	3.1 	7.5 	16.7 	14.1 	8.4 	-1.4 	-9.9 	-14.9 	-2.3	
2024 	-18.8 	-13.1 	-17.5 	-11.3 	-4.3 	6.0 	14.7 	999.9 	999.9 	999.9 	999.9 	999.9 	999.9
