STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        164;20230113;   10;  15.0;   5.3;    9;   0.1;   6;    1.300;   0;   7.2;   8.8;  997.80;    8.7;   78.00;    9.8;    6.9;    5.6;eor
        164;20230114;   10;  13.3;   5.9;    9;   8.6;   6;    0.200;   0;   7.4;   8.1; 1001.10;    7.0;   81.00;    8.2;    5.8;    5.0;eor
        164;20230115;   10;  15.4;   6.2;    9;   0.0;   6;    0.500;   0;   6.2;   7.4;  990.80;    6.5;   76.00;    9.1;    4.8;    3.7;eor
        164;20230116;   10;  11.9;   4.9;    9;   0.0;   6;    4.500;   0;   6.8;   6.1;  986.30;    4.4;   73.00;    6.8;    3.0;    1.6;eor
        164;20230117;   10;  11.4;   4.3;    9;   0.0;   6;    0.200;   0;   5.7;   5.9;  978.80;    2.3;   82.00;    4.9;   -2.1;   -5.2;eor
        164;20230118;   10;   4.0;   1.5;    9;   0.0;   0;    0.200;   0;   7.0;   5.0;  989.00;   -1.4;   90.00;    1.1;   -4.0;   -5.3;eor
        164;20230119;   10;   8.5;   2.8;    9;   0.0;   8;    7.100;   0;   2.3;   4.6;  998.20;   -2.4;   89.00;   -0.4;   -5.1;   -6.5;eor
        164;20230120;   10;   8.3;   2.3;    9;   0.0;   8;    0.000;   0;   7.9;   5.3; 1010.10;   -0.6;   90.00;    0.4;   -1.7;   -2.8;eor
        164;20230121;   10;  17.6;   5.3;    9;  11.7;   8;    0.000;   0;   7.8;   5.6; 1019.70;    0.8;   87.00;    3.1;   -1.4;   -2.4;eor
        164;20230122;   10;   6.8;   3.1;    9;   2.0;   8;    0.000;   2;   7.6;   6.1; 1024.30;    0.6;   96.00;    1.1;    0.1;    0.0;eor
        164;20230123;   10;   4.3;   2.3;    9;   0.0;   7;    0.000;   1;   8.0;   5.7; 1031.80;    0.3;   91.00;    1.0;   -0.7;   -1.0;eor
        164;20230124;   10;   4.7;   1.6;    9;   0.0;   0;    0.000;   0;   8.0;   5.0; 1033.60;   -0.5;   84.00;    0.3;   -1.3;   -1.4;eor
        164;20230125;   10;   6.1;   2.4;    9;   0.0;   8;    0.000;   0;   8.0;   5.3; 1025.20;   -0.1;   88.00;    0.6;   -1.2;   -1.1;eor
        164;20230126;   10;   4.4;   1.8;    9;   0.3;   8;    0.000;   0;   7.8;   5.3; 1015.30;   -1.0;   93.00;   -0.4;   -1.5;   -1.9;eor
        164;20230127;   10;  11.2;   3.6;    9;   0.2;   6;    0.000;   0;   6.1;   5.9; 1018.10;    1.0;   89.00;    3.7;   -1.6;   -3.7;eor
        164;20230128;   10;   7.9;   2.5;    9;   0.0;   6;    0.000;   0;   7.3;   4.5; 1020.80;    0.2;   73.00;    1.6;   -1.4;   -3.1;eor
        164;20230129;   10;  12.7;   4.7;    9;   0.6;   8;    0.000;   0;   7.9;   5.9; 1014.30;    1.0;   89.00;    2.6;   -0.6;   -1.0;eor
        164;20230130;   10;  18.6;   7.9;    9;   4.4;   6;    0.700;   0;   7.3;   6.6;  998.60;    3.5;   84.00;    5.9;    1.6;    0.9;eor
        164;20230131;   10;  16.4;   7.2;    9;   2.6;   6;    0.000;   0;   6.9;   6.6; 1004.50;    3.7;   82.00;    5.7;    1.6;    0.5;eor
        164;20230201;   10;  14.7;   7.2;    9;   6.0;   6;    0.600;   0;   7.5;   6.9; 1000.00;    3.7;   86.00;    5.3;    2.2;    1.8;eor
        164;20230202;   10;  20.3;   6.3;    9;   3.2;   8;    3.400;   0;   6.9;   5.8; 1008.00;    2.3;   80.00;    4.9;   -2.1;   -4.0;eor
        164;20230203;   10;  21.0;   7.9;    9;   1.5;   6;    0.400;   0;   7.5;   7.3; 1005.50;    4.3;   87.00;    8.1;   -0.6;   -1.2;eor
        164;20230204;   10;  12.0;   3.7;    9;   0.0;   8;    3.300;   0;   3.9;   4.9; 1027.70;    0.1;   79.00;    4.0;   -4.5;   -6.1;eor
        164;20230205;   10;   5.1;   1.8;    9;   0.0;   8;    3.700;   0;   6.3;   4.2; 1031.90;   -2.7;   84.00;    0.9;   -5.8;   -7.6;eor
        164;20230206;   10;   5.9;   1.7;    9;   0.1;   8;    1.800;   0;   6.0;   4.6; 1033.20;   -2.5;   89.00;    1.3;   -6.1;   -8.0;eor
        164;20230207;   10;   4.2;   1.5;    9;   0.0;   0;    8.400;   0;   1.5;   4.0; 1035.50;   -3.0;   82.00;    2.7;   -8.1;   -9.4;eor
        164;20230208;   10;   8.9;   2.9;    9;   0.0;   0;    8.300;   0;   1.1;   4.0; 1034.70;   -2.6;   80.00;    0.6;   -5.7;   -7.7;eor
        164;20230209;   10;  11.1;   4.3;    9;   0.0;   0;    7.100;   0;   5.8;   3.7; 1025.60;   -1.1;   66.00;    3.1;   -6.1;   -7.6;eor
        164;20230210;   10;  12.2;   4.8;    9;   0.0;   0;    1.900;   0;   7.3;   5.9; 1024.90;    2.6;   79.00;    6.1;   -0.3;   -2.0;eor
        164;20230211;   10;  13.6;   5.9;    9;   0.1;   6;    0.000;   0;   7.9;   8.1; 1019.90;    5.7;   87.00;    7.7;    3.4;    2.6;eor
        164;20230212;   10;   6.9;   2.8;    9;   0.3;   6;    0.600;   0;   7.7;   8.5; 1029.10;    6.5;   88.00;    8.6;    4.8;    1.8;eor
        164;20230213;   10;   7.6;   3.3;    9;   0.0;   0;    0.000;   0;   8.0;   7.4; 1030.00;    5.5;   81.00;    6.6;    4.3;    3.4;eor
        164;20230214;   10;   4.9;   1.7;    9;   0.0;   0;    0.000;   0;   7.1;   6.2; 1029.30;    3.2;   81.00;    5.5;   -2.4;   -4.5;eor
        164;20230215;   10;   5.8;   1.6;    9;   0.0;   0;    0.200;   0;   6.9;   5.6; 1021.00;   -1.1;   98.00;    1.9;   -3.7;   -5.1;eor
        164;20230216;   10;   9.1;   2.8;    9;   0.3;   6;    5.400;   0;   7.6;   6.8; 1014.60;    4.5;   81.00;    9.9;   -2.0;   -3.8;eor
        164;20230217;   10;  20.1;   6.5;    9;   2.6;   6;    0.000;   0;   7.7;   9.5; 1005.00;    8.3;   86.00;   11.3;    6.1;    5.4;eor
        164;20230218;   10;  16.4;   5.4;    9;   9.0;   6;    0.000;   0;   7.4;   7.2; 1005.10;    4.8;   85.00;    7.1;    1.5;   -0.2;eor
        164;20230219;   10;  13.2;   5.2;    9;   0.0;   6;    5.000;   0;   6.6;   5.8; 1010.70;    3.2;   77.00;    7.1;    1.5;   -2.1;eor
        164;20230220;   10;  18.8;   7.8;    9;   4.7;   6;    0.100;   0;   7.7;   8.4; 1005.80;    6.4;   86.00;    8.8;    2.4;    1.0;eor
        164;20230221;   10;  14.4;   6.3;    9;   0.0;   0;    4.000;   0;   7.5;   8.1; 1006.20;    7.6;   77.00;   10.4;    4.1;    0.2;eor
        164;20230222;   10;   7.4;   2.4;    9;   0.0;   0;    5.100;   0;   6.5;   6.8; 1010.00;    4.8;   80.00;    9.4;   -1.4;   -3.0;eor
        164;20230223;   10;   7.7;   3.0;    9;   1.7;   6;    1.300;   0;   7.8;   7.4; 1005.70;    4.7;   85.00;    8.3;    0.5;   -0.8;eor
        164;20230224;   10;  12.4;   4.8;    9;   2.9;   8;    0.000;   0;   7.5;   6.6;  994.50;    2.9;   87.00;    5.9;    1.8;    1.4;eor
        164;20230225;   10;  13.8;   6.8;    9;   1.8;   8;    0.000;   0;   7.5;   6.0;  993.80;    1.0;   91.00;    2.6;   -0.6;   -1.0;eor
        164;20230226;   10;   9.9;   4.2;    9;   0.0;   0;    6.200;   2;   4.5;   4.8; 1013.10;    0.1;   78.00;    3.7;   -3.5;   -5.3;eor
        164;20230227;   10;   5.0;   1.8;    9;   0.0;   0;    2.600;   0;   5.2;   4.8; 1022.30;   -0.3;   82.00;    5.0;   -4.4;   -6.2;eor
        164;20230228;   10;   3.3;   1.2;    9;   0.0;   0;    9.800;   0;   0.0;   4.3; 1025.30;   -0.6;   77.00;    5.6;   -5.4;   -7.6;eor
        164;20230301;   10;   4.2;   1.5;    9;   0.0;   0;    9.800;   0;   2.8;   4.9; 1022.20;    0.6;   78.00;    8.6;   -6.0;   -7.4;eor
        164;20230302;   10;   5.1;   1.9;    9;   0.0;   0;    0.000;   0;   7.1;   5.5; 1018.50;   -1.2;   97.00;    0.1;   -3.5;   -5.0;eor
        164;20230303;   10;  12.7;   3.6;    9;   0.0;   6;    0.100;   0;   7.6;   5.8; 1014.70;    0.6;   91.00;    3.1;   -2.2;   -1.7;eor
        164;20230304;   10;  14.2;   5.3;    9;   0.2;   8;    0.600;   0;   6.3;   5.9; 1008.50;    2.7;   80.00;    7.2;   -2.5;   -5.1;eor
        164;20230305;   10;  10.1;   3.9;    9;   1.4;   7;    2.100;   0;   7.0;   4.4; 1002.90;    0.7;   69.00;    4.0;   -2.0;   -4.9;eor
        164;20230306;   10;   7.5;   2.2;    9;   1.0;   7;    4.100;   3;   6.8;   5.0;  996.50;    0.0;   82.00;    3.4;   -2.8;   -4.1;eor
        164;20230307;   10;  17.5;   5.4;    9;   1.8;   8;    1.300;   1;   7.5;   5.6;  987.50;    0.9;   86.00;    4.9;   -3.2;   -4.4;eor
        164;20230308;   10;   9.5;   3.4;    9;   0.1;   8;    1.400;   0;   6.1;   5.1;  990.80;    0.7;   81.00;    3.3;   -1.2;   -2.4;eor
        164;20230309;   10;   8.1;   3.2;    9;   8.5;   8;    0.000;   0;   7.8;   5.6;  991.20;   -0.2;   92.00;    0.5;   -0.9;   -1.2;eor
        164;20230310;   10;   7.1;   3.2;    9;   9.0;   8;    0.000;   1;   8.0;   6.1;  983.80;    0.3;   97.00;    1.1;   -0.2;   -0.1;eor
        164;20230311;   10;  13.6;   6.7;    9;   0.1;   8;    5.700;   3;   6.1;   5.3;  995.30;    1.0;   82.00;    3.5;    0.0;   -0.8;eor
        164;20230312;   10;  11.4;   4.2;    9;   0.4;   8;    4.400;   0;   5.7;   5.4; 1002.60;    2.2;   76.00;    5.2;   -1.1;   -2.5;eor
        164;20230313;   10;  13.7;   5.6;    9;   2.8;   6;    2.200;   0;   7.4;  10.5;  991.00;   10.1;   84.00;   15.7;    5.2;    4.3;eor
        164;20230314;   10;  21.7;   5.6;    9;   8.4;   8;    1.600;   0;   7.3;   8.8;  986.50;    8.3;   79.00;   13.9;    0.4;   -0.5;eor
        164;20230315;   10;  12.0;   4.9;    9;   0.5;   8;    6.500;   0;   2.1;   5.5; 1006.70;    1.9;   80.00;    6.1;   -0.3;   -1.4;eor
